,nb_link,nb_id,cell_no,source_x,Mike_label_readable,Ge_label_readable
1602,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1000752.ipynb,1000752,6,['p =  figure()'],EXPLORE,WRANGLE
1609,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1000752.ipynb,1000752,13,"['gr  =  Bar(data, title = ""Gráfico Bokeh"", xlabel = \'x\', ylabel = \'valores\', width = 400, height = 400)']",EXPLORE,WRANGLE
1738,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1002722.ipynb,1002722,1,"[""with open('/home/czc/Documents/Data/phone_data/phone_data/tb_sms_201202.txt') as f:\n"", '    dat = f.readlines() \n', '\n', 'G = nx.DiGraph()\n', 'for i in dat:\n', '    date, x, y = i.split(""\\t"")[:3]\n', ""    if 'y' not in x and 'y' not in y:\n"", '        G.add_edge(x,y)\n', '\n', 'components = list(nx.weakly_connected_components(G))\n', '\n', 'clen_dict = defaultdict(int)\n', 'for i in components:\n', '    clen_dict[len(i)] += 1\n', '    \n', 'scc = max(nx.algorithms.components.strongly_connected.strongly_connected_components(G), key=len)\n', '\n', 'bfsnodes = nx.bfs_successors(G, scc[0])\n', 'rG = G.reverse()\n', 'rbfsnodes = nx.bfs_successors(rG, scc[0])\n', '\n', 'bfsnodeslist= []\n', 'for i in bfsnodes.keys():\n', '    bfsnodeslist.append(i)\n', 'for i in bfsnodes.values():\n', '    for j in i:\n', '        bfsnodeslist.append(j)\n', 'bfsnodesset = set(bfsnodeslist)\n', '\n', 'rbfsnodeslist= []\n', 'for i in rbfsnodes.keys():\n', '    rbfsnodeslist.append(i)\n', 'for i in rbfsnodes.values():\n', '    for j in i:\n', '        rbfsnodeslist.append(j)\n', 'rbfsnodesset = set(rbfsnodeslist)']",WRANGLE,MODEL
63,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1004385.ipynb,1004385,2,"[""# Let's use pandas to create Categorical Series. One way is by \n"", '# specifying dtype=""category"" when constructing a Series:\n', '\n', 's = pd.Series([""a"",""b"",""c"",""a""], dtype=""category"")\n', 's']",WRANGLE,EXPLORE
64,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1004385.ipynb,1004385,3,"['# Another way is to convert an existing Series or column to a \n', '# category dtype:\n', '\n', 'df = pd.DataFrame({""A"":[""a"",""b"",""c"",""a""]})\n', 'df[""B""] = df[""A""].astype(\'category\')\n', 'df']",WRANGLE,EXPLORE
66,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1004385.ipynb,1004385,5,"[' s = pd.Series(raw_cat)\n', ' s']",WRANGLE,EXPLORE
68,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1004385.ipynb,1004385,8,"[""# Now, let's convert the categorical variables into dummy variables. \n"", '\n', ""pd.get_dummies(df['key'])""]",WRANGLE,EXPLORE
882,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1005070.ipynb,1005070,24,"['pcbp2 = ReadDensity(pos=""/projects/ps-yeolab2/encode/analysis/encode_v12/293XT_CLIP_RBFOX2_1120_RBFOX2.merged.r2.norm.neg.bw"", \n', '                    neg=""/projects/ps-yeolab2/encode/analysis/encode_v12/293XT_CLIP_RBFOX2_1120_RBFOX2.merged.r2.norm.pos.bw"")\n', 'miso_splicing_calls = pd.read_table(""/home/elvannostrand/scratch/ENCODE_rnaseq/bam_files_shashank/HepG2/clip_and_RNASeq_common_datasets/miso/miso_comparisons/xrcc6_rep1/SE_vs_SE/bayes-factors/SE_vs_SE.miso_bf"")\n', '\n', 'plot_splice_map(pcbp2, se_splicing, os.path.join(img_dir, ""RBFOX2.splice_map.svg""))']",EXPLORE,WRANGLE
883,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1005070.ipynb,1005070,25,"['pcbp2 = ReadDensity(pos=""/projects/ps-yeolab2/encode/analysis/encode_v12/204_02_RBFOX2.merged.r2.norm.neg.bw"", \n', '                    neg=""/projects/ps-yeolab2/encode/analysis/encode_v12/204_02_RBFOX2.merged.r2.norm.pos.bw"")\n', 'miso_splicing_calls = pd.read_table(""/oasis/tscc/scratch/elvannostrand/ENCODE_rnaseq/bam_files_shashank/K562/clip_and_RNASeq_common_datasets/miso/miso_comparisons/RBFOX2_rep1_ctrl1/SE_vs_SE/bayes-factors/SE_vs_SE.miso_bf"")\n', '\n', 'plot_splice_map(pcbp2, miso_splicing_calls, ""204_02_RBFOX2.splice_map.svg"")']",EXPLORE,WRANGLE
887,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1005070.ipynb,1005070,31,"['def modify_plot(df):\n', '    #df = df[df.sum(axis=1) > 5]\n', '    min_normalized_read_number = min([item for item in df.unstack().values if item > 0])\n', '    df = df + min_normalized_read_number\n', '    df = df.div(df.sum(axis=1), axis=0).dropna()\n', '    return df.mean()\n', '    return df']",EXPLORE,WRANGLE
